Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureAttributesUsed,measureNumIterations
R_data_frame,2,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9331103678929765,0.03365214616035468,0.15177584564754135,9.04013372868569,35.14817875193414,39.760277383931644,3.740790829474045,36.0194865544576,1.9880138691965823,0.18703954147370225,1.80097432772288,36.83470981490449,1.8417354907452246,92.64198400635539,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.016666666666666666,0.9833333333333334,0.05,0.9583333333333334,0.95,0.95,0.9350544070285082,0.9966666666666667,0.9916666666666666,0.9545454545454546,0.95,0.039,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,27.5,?,74.07407407407408,31.0
R_data_frame,2,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.006002714828518595,0.021730922837325396,1.6125374151887597,5.032436861557845,39.760277383931644,0.36136610430689237,39.39891127962475,1.9880138691965823,0.018068305215344617,1.9699455639812373,39.398911279624755,1.9699455639812378,99.09113786904081,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.033,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,26.25,?,51.85185185185185,14.0
R_data_frame,2,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9326599326599326,0.021919264604510793,0.0919556898955341,5.888274771986665,21.295055296290577,39.760277383931644,1.6689391373415552,38.09133824659009,1.9880138691965823,0.08344695686707776,1.9045669123295046,38.091338246590084,1.9045669123295041,95.80249624210109,0.8,4.0,0.0,0.0,1.0,15.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8660254037844386,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.9491452991452991,0.9341491223060409,1.0,1.0,0.9529914529914529,0.95,0.021,0.0,0.015625,0.0,15.625,0.0,11244.0,47646.0,7672.0,100.0,28.75,?,55.55555555555556,11.0
R_data_frame,2,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.025386746220556707,0.048182465077875256,6.819760608326676,11.158072538095047,39.760277383931644,1.5451243275048443,38.2151530564268,1.9880138691965823,0.07725621637524221,1.91075765282134,38.2151530564268,1.91075765282134,96.11389952694526,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,33.75,?,37.03703703703704,7.0
R_data_frame,2,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9333333333333332,0.025642224565189213,0.1581571924092567,6.875705150444844,36.551331919834745,39.91382571347153,15.10244013874053,24.811385574731002,1.9956912856735767,0.7551220069370265,1.24056927873655,37.530722722341096,1.8765361361170547,94.0293796735047,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,0.9880952380952381,0.9761904761904762,0.95,0.0125,0.9875,0.05,0.96,0.95,0.9505050505050505,0.9377802118633468,0.9964285714285716,0.9928571428571429,0.9494949494949496,0.95,0.023,0.0,0.015625,0.0,15.625,0.0,11244.0,47646.0,7672.0,95.0,25.0,?,85.18518518518519,40.0
R_data_frame,2,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9319727891156462,0.04735640559836142,0.12513311388284418,12.740378150630868,29.026948959135822,39.62104497598179,3.5734013472885753,36.047643628693216,1.9810522487990894,0.17867006736442875,1.8023821814346608,36.04764362869324,1.802382181434662,90.98105224267876,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.9483516483516483,0.9356763814432926,1.0,1.0,0.945054945054945,0.95,0.02,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,100.0,35.0,?,44.44444444444444,7.0
R_data_frame,2,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.03142279118494872,0.07477068173772804,8.45372948360779,17.344447805181478,39.62104497598179,2.047053486924021,37.57399148905777,1.9810522487990894,0.10235267434620106,1.8786995744528885,37.57399148905779,1.8786995744528894,94.83341873450102,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.0,0.015625,0.0,15.625,0.0,11244.0,47646.0,7672.0,100.0,33.75,?,40.74074074074074,7.0
R_data_frame,2,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9312714776632302,0.11260712207265475,0.1846509748361016,30.395989940264247,42.9939867876327,39.253301582280464,8.385123192669989,30.868178389610478,1.9626650791140232,0.41925615963349944,1.5434089194805238,30.86817838961049,1.5434089194805245,78.63842567460581,1.0,6.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.8921425711997711,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.946923076923077,0.9366665785023122,1.0,1.0,0.9307692307692308,0.95,0.02,0.0,0.015625,0.0,15.625,0.0,11244.0,47646.0,7672.0,100.0,56.25,?,29.629629629629626,4.0
R_data_frame,2,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,179.0,19.0,17.0,2.0,0.0,89.47368421052632,10.526315789473685,0.0,0.8544061302681992,0.053002266325223035,0.22938076014060096,14.297042669728514,53.365959821395585,37.36468382152099,39.319458636074316,-1.9547748145533248,1.9665623063958417,2.0694451913723326,-0.10288288497649078,31.958985095389792,1.6820518471257786,85.5325987717373,1.0,5.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.0,0.0,0.8333333333333334,1.0,0.9090909090909091,0.879664438186246,0.9857142857142858,0.9666666666666667,0.8947368421052632,0.04308849045691151,0.9569115095430883,0.10526315789473684,0.9110275689223059,0.8947368421052632,0.8728376886271623,0.8614900227761374,0.9815644881434354,0.9538847117794484,0.8330419580419581,0.8947368421052632,0.022,0.0,0.03125,0.0,31.25,0.0,11244.0,47899.0,7419.0,89.47368421052632,25.0,?,62.96296296296296,33.0
R_data_frame,2,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,179.0,19.0,19.0,0.0,0.0,100.0,0.0,0.0,1.0,0.03306819774864617,0.08874839513469153,8.919947523044437,20.647517629936473,37.36468382152099,2.140934206075389,35.223749615445605,1.9665623063958417,0.11268074768817836,1.8538815587076634,35.2237496154456,1.8538815587076631,94.27016640552363,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029,0.0,0.03125,0.0,31.25,0.0,11244.0,47899.0,7419.0,100.0,31.57894736842105,?,48.148148148148145,9.0
R_data_frame,3,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,18.0,2.0,0.0,90.0,10.0,0.0,0.8648648648648649,0.04394225652552934,0.197306237673351,11.782675046256118,45.59897449615045,39.913825713471546,13.023636360865577,26.89018935260597,1.9956912856735773,0.6511818180432789,1.3445094676302984,35.18875837928146,1.759437918964073,88.16182801390723,1.0,6.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.8921425711997711,1.0,1.0,0.9,0.03809523809523809,0.9619047619047618,0.1,0.9154761904761906,0.9,0.8978465978465978,0.8726620083114514,1.0,1.0,0.8945498945498945,0.9,0.028,0.0,0.03125,0.0,31.25,0.0,11244.0,47646.0,7672.0,95.0,26.25,?,70.37037037037037,23.0
R_data_frame,3,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,2.01810080724E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9326599326599326,0.0748760401625999,0.16243104602752045,20.211255928206427,37.82031615596539,39.25330158228047,6.259897338143077,32.993404244137395,1.9626650791140237,0.31299486690715383,1.6496702122068698,33.618414620393416,1.6809207310196708,85.64480760917516,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,1.0,1.0,0.95,0.008823529411764706,0.9911764705882353,0.05,0.9625,0.95,0.9512987012987011,0.9406003386689801,1.0,1.0,0.9415584415584415,0.95,0.02,0.0,0.015625,0.0,15.625,0.0,11244.0,47646.0,7672.0,100.0,51.25,?,37.03703703703704,5.0
