@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.SMO,weka.classifiers.rules.ZeroR,weka.classifiers.rules.OneR,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','','-B 2','-U -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 1 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 2 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-6585883636378691736,48055541465867954,-3459427003147861443,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 10\nSize of the tree: 19\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
R_data_frame,2,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,19,1,0,95,5,0,0.93311,0.254167,0.318416,68.277983,73.738678,39.760277,20.584963,19.175315,1.988014,1.029248,0.958766,19.175315,0.958766,48.227317,1,5,0,0,1,15,0,0,1,1,1,1,1,1,0.95,0.016667,0.983333,0.05,0.958333,0.95,0.95,0.935054,0.975595,0.928333,0.954545,0.95,0.01,0,0.015625,0,15.625,0,11891,47646,7672,100,75,?,?,?,?
R_data_frame,2,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,20,0,0,100,0,0,1,0.25,0.310689,67.158672,71.949258,39.760277,20,19.760277,1.988014,1,0.988014,19.760277,0.988014,49.69854,1,5,0,0,1,15,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,11891,47646,7672,100,76.25,?,?,?,?
R_data_frame,2,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,18,2,0,90,10,0,0.865772,0.258333,0.324893,69.397294,75.238601,39.760277,21.169925,18.590352,1.988014,1.058496,0.929518,18.590352,0.929518,46.756093,0.8,4,0,0,1,15,0.2,1,1,0.8,0.888889,0.866025,0.973333,0.911111,0.9,0.038095,0.961905,0.1,0.908333,0.9,0.899495,0.865557,0.958214,0.864444,0.907828,0.9,0.009,0,0,0,0,0,11891,47646,7672,100,75,?,?,?,?
R_data_frame,2,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,20,0,0,100,0,0,1,0.25,0.311805,67.158672,72.207604,39.760277,20,19.760277,1.988014,1,0.988014,19.760277,0.988014,49.69854,1,5,0,0,1,15,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.016,0,0,0,0,0,11891,47646,7672,100,75,?,?,?,?
R_data_frame,2,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,19,1,0,95,5,0,0.933333,0.254167,0.317324,68.152241,73.335966,39.913826,20.584963,19.328863,1.995691,1.029248,0.966443,19.328863,0.966443,48.426486,0.833333,5,0,0,1,14,0.166667,1,1,0.833333,0.909091,0.881917,0.97619,0.933333,0.95,0.0125,0.9875,0.05,0.96,0.95,0.950505,0.93778,0.986607,0.94,0.949495,0.95,0.006,0,0.015625,0,15.625,0,11891,47646,7672,100,76.25,?,?,?,?
R_data_frame,2,6,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,19,1,0,95,5,0,0.931973,0.254167,0.318416,68.378911,73.862554,39.621045,20.584963,19.036082,1.981052,1.029248,0.951804,19.036082,0.951804,48.045382,1,6,0,0,1,14,0,0,1,1,1,1,1,1,0.95,0.021429,0.978571,0.05,0.957143,0.95,0.948352,0.935676,0.978348,0.925325,0.945055,0.95,0,0,0,0,0,0,11891,47646,7672,100,75,?,?,?,?
R_data_frame,2,7,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,19,1,0,95,5,0,0.932886,0.254167,0.316228,68.378911,73.354901,39.621045,20.584963,19.036082,1.981052,1.029248,0.951804,19.036082,0.951804,48.045382,1,6,0,0,1,14,0,0,1,1,1,1,1,1,0.95,0.0125,0.9875,0.05,0.96,0.95,0.950505,0.93778,0.989286,0.975,0.949495,0.95,0.009,0,0,0,0,0,11891,47646,7672,100,76.25,?,?,?,?
R_data_frame,2,8,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,178,20,18,2,0,90,10,0,0.861111,0.258333,0.322749,69.731801,75.148531,39.253302,21.169925,18.083377,1.962665,1.058496,0.904169,18.083377,0.904169,46.068422,1,6,0.142857,2,0.857143,12,0,0,0.75,1,0.857143,0.801784,0.928571,0.75,0.9,0.042857,0.957143,0.1,0.925,0.9,0.882143,0.872453,0.972689,0.885,0.839286,0.9,0.001,0,0,0,0,0,11891,47646,7672,100,77.5,?,?,?,?
R_data_frame,2,9,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,179,19,17,2,0,89.473684,10.526316,0,0.854406,0.263158,0.330027,70.98526,76.781647,37.364684,21.169925,16.194759,1.966562,1.114207,0.852356,16.350092,0.860531,43.758145,1,5,0.071429,1,0.928571,13,0,0,0.833333,1,0.909091,0.879664,0.964286,0.833333,0.894737,0.043088,0.956912,0.105263,0.911028,0.894737,0.872838,0.86149,0.965298,0.854637,0.833042,0.894737,0.025,0,0.015625,0,15.625,0,11891,47899,7419,100,77.631579,?,?,?,?
R_data_frame,2,10,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20180927.1109,179,19,18,1,0,94.736842,5.263158,0,0.928302,0.254386,0.31876,68.619085,74.160336,37.364684,19.584963,17.779721,1.966562,1.030788,0.935775,17.779721,0.935775,47.584295,1,5,0,0,1,14,0,0,1,1,1,1,1,1,0.947368,0.024291,0.975709,0.052632,0.954887,0.947368,0.946469,0.929342,0.980335,0.931495,0.952991,0.947368,0,0,0,0,0,0,11891,47899,7419,100,75,?,?,?,?
