@relation R_data_frame

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
53,1,86,58,0.597222,0.981481,0.381295,0.981481,0.618705,0.549223,0.70202,1.398082,0.000556
53,1,85,59,0.590278,0.981481,0.384058,0.981481,0.615942,0.552083,0.69697,1.408213,0.00058
53,1,84,60,0.583333,0.981481,0.386861,0.981481,0.613139,0.554974,0.691919,1.418491,0.000583
53,1,83,61,0.576389,0.981481,0.389706,0.981481,0.610294,0.557895,0.686869,1.428922,0.00059
53,1,82,62,0.569444,0.981481,0.392593,0.981481,0.607407,0.560847,0.681818,1.439506,0.00059
53,1,81,63,0.5625,0.981481,0.395522,0.981481,0.604478,0.56383,0.676768,1.450249,0.000595
53,1,80,64,0.555556,0.981481,0.398496,0.981481,0.601504,0.566845,0.671717,1.461153,0.000619
53,1,79,65,0.548611,0.981481,0.401515,0.981481,0.598485,0.569892,0.666667,1.472222,0.000707
53,1,78,66,0.541667,0.981481,0.40458,0.981481,0.59542,0.572973,0.661616,1.483461,0.000729
53,1,77,67,0.534722,0.981481,0.407692,0.981481,0.592308,0.576087,0.656566,1.494872,0.000739
53,1,76,68,0.527778,0.981481,0.410853,0.981481,0.589147,0.579235,0.651515,1.50646,0.000799
53,1,75,69,0.520833,0.981481,0.414063,0.981481,0.585938,0.582418,0.646465,1.518229,0.000817
53,1,74,70,0.513889,0.981481,0.417323,0.981481,0.582677,0.585635,0.641414,1.530184,0.000838
53,1,73,71,0.506944,0.981481,0.420635,0.981481,0.579365,0.588889,0.636364,1.542328,0.00085
53,1,72,72,0.5,0.981481,0.424,0.981481,0.576,0.592179,0.631313,1.554667,0.00102
53,1,71,73,0.493056,0.981481,0.427419,0.981481,0.572581,0.595506,0.626263,1.567204,0.001117
53,1,70,74,0.486111,0.981481,0.430894,0.981481,0.569106,0.59887,0.621212,1.579946,0.001126
53,1,69,75,0.479167,0.981481,0.434426,0.981481,0.565574,0.602273,0.616162,1.592896,0.001197
53,1,68,76,0.472222,0.981481,0.438017,0.981481,0.561983,0.605714,0.611111,1.606061,0.001234
53,1,67,77,0.465278,0.981481,0.441667,0.981481,0.558333,0.609195,0.606061,1.619444,0.001261
53,1,66,78,0.458333,0.981481,0.445378,0.981481,0.554622,0.612717,0.60101,1.633053,0.001277
53,1,65,79,0.451389,0.981481,0.449153,0.981481,0.550847,0.616279,0.59596,1.646893,0.001291
53,1,64,80,0.444444,0.981481,0.452991,0.981481,0.547009,0.619883,0.590909,1.660969,0.001316
53,1,63,81,0.4375,0.981481,0.456897,0.981481,0.543103,0.623529,0.585859,1.675287,0.001327
53,1,62,82,0.430556,0.981481,0.46087,0.981481,0.53913,0.627219,0.580808,1.689855,0.001405
53,1,61,83,0.423611,0.981481,0.464912,0.981481,0.535088,0.630952,0.575758,1.704678,0.001406
53,1,60,84,0.416667,0.981481,0.469027,0.981481,0.530973,0.634731,0.570707,1.719764,0.001421
53,1,59,85,0.409722,0.981481,0.473214,0.981481,0.526786,0.638554,0.565657,1.735119,0.001528
53,1,58,86,0.402778,0.981481,0.477477,0.981481,0.522523,0.642424,0.560606,1.750751,0.001636
53,1,57,87,0.395833,0.981481,0.481818,0.981481,0.518182,0.646341,0.555556,1.766667,0.001853
53,1,56,88,0.388889,0.981481,0.486239,0.981481,0.513761,0.650307,0.550505,1.782875,0.00186
53,1,55,89,0.381944,0.981481,0.490741,0.981481,0.509259,0.654321,0.545455,1.799383,0.002014
53,1,54,90,0.375,0.981481,0.495327,0.981481,0.504673,0.658385,0.540404,1.816199,0.002049
53,1,53,91,0.368056,0.981481,0.5,0.981481,0.5,0.6625,0.535354,1.833333,0.002059
53,1,52,92,0.361111,0.981481,0.504762,0.981481,0.495238,0.666667,0.530303,1.850794,0.002063
53,1,51,93,0.354167,0.981481,0.509615,0.981481,0.490385,0.670886,0.525253,1.86859,0.002112
53,1,50,94,0.347222,0.981481,0.514563,0.981481,0.485437,0.675159,0.520202,1.886731,0.002136
53,1,49,95,0.340278,0.981481,0.519608,0.981481,0.480392,0.679487,0.515152,1.905229,0.002146
53,1,48,96,0.333333,0.981481,0.524752,0.981481,0.475248,0.683871,0.510101,1.924092,0.002253
53,1,47,97,0.326389,0.981481,0.53,0.981481,0.47,0.688312,0.505051,1.943333,0.002299
53,1,46,98,0.319444,0.981481,0.535354,0.981481,0.464646,0.69281,0.5,1.962963,0.002327
53,1,45,99,0.3125,0.981481,0.540816,0.981481,0.459184,0.697368,0.494949,1.982993,0.002358
53,1,44,100,0.305556,0.981481,0.546392,0.981481,0.453608,0.701987,0.489899,2.003436,0.002462
53,1,43,101,0.298611,0.981481,0.552083,0.981481,0.447917,0.706667,0.484848,2.024306,0.002473
53,1,42,102,0.291667,0.981481,0.557895,0.981481,0.442105,0.711409,0.479798,2.045614,0.002556
53,1,41,103,0.284722,0.981481,0.56383,0.981481,0.43617,0.716216,0.474747,2.067376,0.002578
53,1,40,104,0.277778,0.981481,0.569892,0.981481,0.430108,0.721088,0.469697,2.089606,0.00262
53,1,39,105,0.270833,0.981481,0.576087,0.981481,0.423913,0.726027,0.464646,2.112319,0.002685
53,1,38,106,0.263889,0.981481,0.582418,0.981481,0.417582,0.731034,0.459596,2.135531,0.002733
53,1,37,107,0.256944,0.981481,0.588889,0.981481,0.411111,0.736111,0.454545,2.159259,0.002911
53,1,36,108,0.25,0.981481,0.595506,0.981481,0.404494,0.741259,0.449495,2.183521,0.003244
53,1,35,109,0.243056,0.981481,0.602273,0.981481,0.397727,0.746479,0.444444,2.208333,0.003571
53,1,34,110,0.236111,0.981481,0.609195,0.981481,0.390805,0.751773,0.439394,2.233716,0.003588
53,1,33,111,0.229167,0.981481,0.616279,0.981481,0.383721,0.757143,0.434343,2.25969,0.004007
53,1,32,112,0.222222,0.981481,0.623529,0.981481,0.376471,0.76259,0.429293,2.286275,0.004133
53,1,31,113,0.215278,0.981481,0.630952,0.981481,0.369048,0.768116,0.424242,2.313492,0.004786
53,1,30,114,0.208333,0.981481,0.638554,0.981481,0.361446,0.773723,0.419192,2.341365,0.00491
53,1,29,115,0.201389,0.981481,0.646341,0.981481,0.353659,0.779412,0.414141,2.369919,0.005228
53,1,28,116,0.194444,0.981481,0.654321,0.981481,0.345679,0.785185,0.409091,2.399177,0.005371
53,1,27,117,0.1875,0.981481,0.6625,0.981481,0.3375,0.791045,0.40404,2.429167,0.005685
53,1,26,118,0.180556,0.981481,0.670886,0.981481,0.329114,0.796992,0.39899,2.459916,0.005978
53,1,25,119,0.173611,0.981481,0.679487,0.981481,0.320513,0.80303,0.393939,2.491453,0.00603
53,1,24,120,0.166667,0.981481,0.688312,0.981481,0.311688,0.80916,0.388889,2.52381,0.006212
53,1,23,121,0.159722,0.981481,0.697368,0.981481,0.302632,0.815385,0.383838,2.557018,0.006468
53,1,22,122,0.152778,0.981481,0.706667,0.981481,0.293333,0.821705,0.378788,2.591111,0.007692
53,1,21,123,0.145833,0.981481,0.716216,0.981481,0.283784,0.828125,0.373737,2.626126,0.00804
53,1,20,124,0.138889,0.981481,0.726027,0.981481,0.273973,0.834646,0.368687,2.6621,0.009512
53,1,19,125,0.131944,0.981481,0.736111,0.981481,0.263889,0.84127,0.363636,2.699074,0.011152
53,1,18,126,0.125,0.981481,0.746479,0.981481,0.253521,0.848,0.358586,2.737089,0.011282
53,1,17,127,0.118056,0.981481,0.757143,0.981481,0.242857,0.854839,0.353535,2.77619,0.011482
53,1,16,128,0.111111,0.981481,0.768116,0.981481,0.231884,0.861789,0.348485,2.816425,0.013313
53,1,15,129,0.104167,0.981481,0.779412,0.981481,0.220588,0.868852,0.343434,2.857843,0.014312
53,1,14,130,0.097222,0.981481,0.791045,0.981481,0.208955,0.876033,0.338384,2.900498,0.018803
53,1,13,131,0.090278,0.981481,0.80303,0.981481,0.19697,0.883333,0.333333,2.944444,0.021253
53,1,12,132,0.083333,0.981481,0.815385,0.981481,0.184615,0.890756,0.328283,2.989744,0.025432
53,1,11,133,0.076389,0.981481,0.828125,0.981481,0.171875,0.898305,0.323232,3.036458,0.027265
53,1,10,134,0.069444,0.981481,0.84127,0.981481,0.15873,0.905983,0.318182,3.084656,0.033072
53,1,9,135,0.0625,0.981481,0.854839,0.981481,0.145161,0.913793,0.313131,3.134409,0.041799
53,1,8,136,0.055556,0.981481,0.868852,0.981481,0.131148,0.921739,0.308081,3.185792,0.068478
53,1,7,137,0.048611,0.981481,0.883333,0.981481,0.116667,0.929825,0.30303,3.238889,0.086528
53,1,6,138,0.041667,0.981481,0.898305,0.981481,0.101695,0.938053,0.29798,3.293785,0.087026
53,1,5,139,0.034722,0.981481,0.913793,0.981481,0.086207,0.946429,0.292929,3.350575,0.160223
53,1,4,140,0.027778,0.981481,0.929825,0.981481,0.070175,0.954955,0.287879,3.409357,0.452199
53,1,3,141,0.020833,0.981481,0.946429,0.981481,0.053571,0.963636,0.282828,3.470238,0.494203
53,1,2,142,0.013889,0.981481,0.963636,0.981481,0.036364,0.972477,0.277778,3.533333,0.843879
52,2,2,142,0.013889,0.962963,0.962963,0.962963,0.037037,0.962963,0.272727,3.530864,0.929045
52,2,1,143,0.006944,0.962963,0.981132,0.962963,0.018868,0.971963,0.267677,3.597484,0.936445
51,3,1,143,0.006944,0.944444,0.980769,0.944444,0.019231,0.962264,0.262626,3.596154,0.943641
50,4,1,143,0.006944,0.925926,0.980392,0.925926,0.019608,0.952381,0.257576,3.594771,0.948667
49,5,1,143,0.006944,0.907407,0.98,0.907407,0.02,0.942308,0.252525,3.593333,0.961198
48,6,1,143,0.006944,0.888889,0.979592,0.888889,0.020408,0.932039,0.247475,3.591837,0.962443
47,7,1,143,0.006944,0.87037,0.979167,0.87037,0.020833,0.921569,0.242424,3.590278,0.965212
46,8,1,143,0.006944,0.851852,0.978723,0.851852,0.021277,0.910891,0.237374,3.588652,0.96649
45,9,1,143,0.006944,0.833333,0.978261,0.833333,0.021739,0.9,0.232323,3.586957,0.976287
44,10,1,143,0.006944,0.814815,0.977778,0.814815,0.022222,0.888889,0.227273,3.585185,0.97677
43,11,1,143,0.006944,0.796296,0.977273,0.796296,0.022727,0.877551,0.222222,3.583333,0.976896
42,12,1,143,0.006944,0.777778,0.976744,0.777778,0.023256,0.865979,0.217172,3.581395,0.977405
41,13,1,143,0.006944,0.759259,0.97619,0.759259,0.02381,0.854167,0.212121,3.579365,0.977599
40,14,1,143,0.006944,0.740741,0.97561,0.740741,0.02439,0.842105,0.207071,3.577236,0.978989
39,15,1,143,0.006944,0.722222,0.975,0.722222,0.025,0.829787,0.20202,3.575,0.980155
38,16,1,143,0.006944,0.703704,0.974359,0.703704,0.025641,0.817204,0.19697,3.57265,0.98728
37,17,1,143,0.006944,0.685185,0.973684,0.685185,0.026316,0.804348,0.191919,3.570175,0.990669
36,18,1,143,0.006944,0.666667,0.972973,0.666667,0.027027,0.791209,0.186869,3.567568,0.990882
35,19,1,143,0.006944,0.648148,0.972222,0.648148,0.027778,0.777778,0.181818,3.564815,0.990987
34,20,1,143,0.006944,0.62963,0.971429,0.62963,0.028571,0.764045,0.176768,3.561905,0.991005
33,21,1,143,0.006944,0.611111,0.970588,0.611111,0.029412,0.75,0.171717,3.558824,0.991392
32,22,1,143,0.006944,0.592593,0.969697,0.592593,0.030303,0.735632,0.166667,3.555556,0.99224
31,23,1,143,0.006944,0.574074,0.96875,0.574074,0.03125,0.72093,0.161616,3.552083,0.992672
30,24,1,143,0.006944,0.555556,0.967742,0.555556,0.032258,0.705882,0.156566,3.548387,0.992706
