Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
R_data_frame,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9331103678929765,0.06625,0.17204650534085253,17.797047970479714,39.842448563315486,39.760277383931644,7.078271944527712,32.68200543940393,1.9880138691965823,0.3539135972263856,1.6341002719701965,34.81723233750115,1.7408616168750577,87.56788088096154,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.016666666666666666,0.9833333333333334,0.05,0.9583333333333334,0.95,0.95,0.9350544070285082,0.9790476190476192,0.9616666666666667,0.9545454545454546,0.95,0.025,0.001,0.03125,0.0,31.25,0.0,170050.0,47646.0,7672.0,100.0,40.0,?,-1.0
R_data_frame,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.03125000000000001,0.07770135133960027,8.394833948339489,17.994042296382677,39.760277383931644,2.0358294164456314,37.724447967486014,1.9880138691965823,0.10179147082228157,1.8862223983743007,37.72444796748601,1.8862223983743003,94.87974040827898,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.026,0.001,0.03125,0.0,31.25,0.0,177191.0,47646.0,7672.0,100.0,31.25,?,-1.0
R_data_frame,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,18.0,2.0,0.0,90.0,10.0,0.0,0.865771812080537,0.07125000000000001,0.19805933454396943,19.14022140221403,45.86648728155732,39.760277383931644,8.289686824534282,31.470590559397362,1.9880138691965823,0.4144843412267141,1.573529527969868,33.84600146696144,1.692300073348072,85.12516434465232,0.8,4.0,0.0,0.0,1.0,15.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8660254037844386,0.96,0.925,0.9,0.03809523809523809,0.961904761904762,0.1,0.9083333333333334,0.9,0.8994949494949495,0.8655570554395874,0.9795238095238096,0.9604166666666666,0.9078282828282829,0.9,0.025,0.0,0.03125,0.0,31.25,0.0,163091.0,47646.0,7672.0,95.0,36.25,?,-1.0
R_data_frame,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,20.0,0.0,0.0,100.0,0.0,0.0,1.0,0.03575000000000001,0.08841662739553009,9.603690036900376,20.47548087169291,39.760277383931644,2.412448607144883,37.34782877678676,1.9880138691965823,0.12062243035724415,1.8673914388393382,37.347828776786756,1.8673914388393378,93.93251565161404,1.0,5.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.035,0.001,0.03125,0.0,31.25,0.0,175168.0,47646.0,7672.0,100.0,35.0,?,-1.0
R_data_frame,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9333333333333332,0.04950000000000001,0.15633297796690243,13.272928176795586,36.12974206634956,39.91382571347153,5.149149082862159,34.76467663060937,1.9956912856735767,0.25745745414310794,1.7382338315304686,36.02907236773681,1.8014536183868404,90.26714859752579,0.8333333333333334,5.0,0.0,0.0,1.0,14.0,0.16666666666666666,1.0,1.0,0.8333333333333334,0.9090909090909091,0.8819171036881969,1.0,1.0,0.95,0.0125,0.9875,0.05,0.96,0.95,0.9505050505050505,0.9377802118633468,1.0,1.0,0.9494949494949496,0.95,0.026,0.001,0.03125,0.0,31.25,0.0,166638.0,47646.0,7672.0,100.0,33.75,?,-1.0
R_data_frame,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9319727891156462,0.062499999999999986,0.1575039682039789,16.81448632668145,36.535969609120805,39.62104497598179,5.07185083214392,34.549194143837866,1.9810522487990894,0.253592541607196,1.7274597071918933,34.62085392552824,1.7310426962764118,87.37996170094792,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.9483516483516483,0.9356763814432926,0.9901785714285716,0.976190476190476,0.945054945054945,0.95,0.026,0.001,0.03125,0.0,31.25,0.0,182356.0,47646.0,7672.0,100.0,38.75,?,-1.0
R_data_frame,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9328859060402684,0.042500000000000024,0.10516653460107923,11.433850702143397,24.39533019958868,39.62104497598179,3.3480820188892184,36.272962957092574,1.9810522487990894,0.16740410094446093,1.8136481478546287,36.35526149736463,1.8177630748682314,91.75745243317819,1.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.0125,0.9875,0.05,0.96,0.95,0.9505050505050505,0.9377802118633468,1.0,1.0,0.9494949494949495,0.95,0.025,0.0,0.03125,0.0,31.25,0.0,171838.0,47646.0,7672.0,100.0,37.5,?,-1.0
R_data_frame,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,178.0,20.0,19.0,1.0,0.0,95.0,5.0,0.0,0.9312714776632302,0.08425,0.1706824536969164,22.741564701520215,39.74156738484339,39.253301582280464,6.398914196308906,32.854387385971556,1.9626650791140232,0.3199457098154453,1.6427193692985778,32.85438738597158,1.6427193692985789,83.69840513186932,1.0,6.0,0.07142857142857142,1.0,0.9285714285714286,13.0,0.0,0.0,0.8571428571428571,1.0,0.923076923076923,0.8921425711997711,0.9940476190476191,0.9761904761904762,0.95,0.02142857142857143,0.9785714285714284,0.05,0.9571428571428571,0.95,0.946923076923077,0.9366665785023122,0.9982142857142857,0.9928571428571429,0.9307692307692308,0.95,0.027,0.0,0.03125,0.0,31.25,0.0,169024.0,47646.0,7672.0,100.0,45.0,?,-1.0
R_data_frame,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,179.0,19.0,19.0,0.0,0.0,100.0,0.0,0.0,1.0,0.04631578947368422,0.10717668638870657,12.493405740884413,24.93490184662462,37.36468382152099,3.0548776452888253,34.309806176232165,1.9665623063958417,0.16078303396256977,1.8057792724332717,34.30980617623216,1.8057792724332715,91.82415764607832,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024,0.0,0.015625,0.0,15.625,0.0,176417.0,47899.0,7419.0,100.0,38.1578947368421,?,-1.0
R_data_frame,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,2.01810080725E7,179.0,19.0,19.0,0.0,0.0,100.0,0.0,0.0,1.0,0.04500000000000001,0.11094095157714354,12.138479441427469,25.810666774250073,37.36468382152099,3.0482002970163307,34.31648352450466,1.9665623063958417,0.16043159457980688,1.8061307118160348,34.31648352450465,1.8061307118160341,91.84202839350492,1.0,5.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024,0.0,0.015625,0.0,15.625,0.0,171850.0,47899.0,7419.0,100.0,36.8421052631579,?,-1.0
